scope,horizon,sample_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,overlapping,3,logistic_time_group_ticker,78662,1.0,0.4084627748463643,0.3561296329690299,0.4502238939638187,0.3880329741578931,0.0035145764732248,0.0005391075482597,0.0029276672396728
all,5,overlapping,3,majority_baseline,78662,1.0,0.3333333333333333,0.1992667724320695,0.0,0.0,,,0.0021424682270739
all,5,overlapping,3,ridge_current,78662,1.0,0.3560847625743754,0.3223775943309608,0.4141404358353511,0.2640402605822964,-0.0014329672532033,0.0013715231924065,0.0062341951918673
all,5,overlapping,4,logistic_global,81443,1.0,0.3980652998485054,0.3288254220446854,0.4348097317529631,0.2721416021344439,0.007983318547513,0.004110334013061,0.0062483668866828
all,5,overlapping,4,logistic_group,81443,1.0,0.3978833214558257,0.3424014919849736,0.4252220703792279,0.3239734495997917,0.0076041206192736,0.0041904165052244,0.0055420134153828
all,5,overlapping,4,logistic_time,81443,1.0,0.3976121223633463,0.3305320784310334,0.4346833998859098,0.2727272727272727,0.008148847781968,0.0039667486524264,0.0063499833734899
all,5,overlapping,4,logistic_time_group,81443,1.0,0.3965506637799539,0.3410677227714961,0.4270657480494593,0.3045487082709702,0.0083388539414354,0.0040492615051652,0.00519191546147
all,5,overlapping,4,logistic_time_group_ticker,81443,1.0,0.4024544467424243,0.3455656221066154,0.4328801307976938,0.3273573241361359,0.007822491908023,0.0040083125370884,0.0057051029079375
all,5,overlapping,4,majority_baseline,81443,1.0,0.3333333333333333,0.2025246480879922,0.0,0.0,,,0.0054719528885875
all,5,overlapping,4,ridge_current,81443,1.0,0.3517817319674821,0.2959541758551974,0.3565330363771343,0.1875122014706839,0.0056387124786622,0.0049788202444988,0.0063635950735833
all,5,overlapping,5,logistic_global,83778,1.0,0.4079593081673773,0.3607977313851809,0.425476719897581,0.3772778873155284,0.013247845224528,0.0006571841450821,0.0064725736147826
all,5,overlapping,5,logistic_group,83778,1.0,0.4065654254415402,0.3608479616549783,0.4218710888610763,0.4027902252494473,0.0126147516499162,0.0003860455407954,0.0067948139640503
all,5,overlapping,5,logistic_time,83778,1.0,0.4010986569454282,0.3704336482877921,0.4167263097623819,0.3478819382207086,0.011341275979247,0.0008717108714885,0.0075008960080846
all,5,overlapping,5,logistic_time_group,83778,1.0,0.4026667362678037,0.3704528420542728,0.416100166481687,0.3583975622871482,0.0111139621776247,0.0004532751037044,0.0081427303881182
all,5,overlapping,5,logistic_time_group_ticker,83778,1.0,0.4067540395236027,0.3668499532944083,0.419011544011544,0.3469857202605007,0.0118068432534221,0.0007745358476002,0.0079055598043394
all,5,overlapping,5,majority_baseline,83778,1.0,0.3333333333333333,0.2045681443361519,0.0,0.0,,,0.0066519595521224
all,5,overlapping,5,ridge_current,83778,1.0,0.3785768119113379,0.2862383003376898,0.4004237288135593,0.1016311166875784,0.0076279451701062,0.0033512347862273,0.0123837704366382
all,5,non_overlapping,0,logistic_global,77175,1.0,0.4055523201554571,0.360146896611,0.4216486337795709,0.3088418012693509,0.0087777618028089,0.0023407551679868,0.006755288248962
all,5,non_overlapping,0,logistic_group,77175,1.0,0.4034695013446355,0.365692539665206,0.4192641486370859,0.3455455186540851,0.0082870594688258,0.0022797995446937,0.0065754548990196
all,5,non_overlapping,0,logistic_time,77175,1.0,0.4008026186239402,0.3530332358718446,0.4149656771377915,0.3065247321938278,0.0087704502804891,0.0023725827043978,0.0068620237196816
all,5,non_overlapping,0,logistic_time_group,77175,1.0,0.4014304277730194,0.3598342869614666,0.4153051017005668,0.3345982067900198,0.0085002552410519,0.0023439780291896,0.0065397037787196
all,5,non_overlapping,0,logistic_time_group_ticker,77175,1.0,0.4065782214658517,0.360626367206448,0.4187677959806875,0.3407770576580812,0.0086454253900951,0.0021986625729822,0.0067801948685653
all,5,non_overlapping,0,majority_baseline,77175,1.0,0.3333333333333333,0.2035453459832814,0.0,0.0,,,0.0054538345064285
all,5,non_overlapping,0,ridge_current,77175,1.0,0.3550084961639052,0.3293212617376855,0.377717254249256,0.2514859464723463,0.0035493068163221,0.003252226927212,0.0093538921169239
all,5,non_overlapping,1,logistic_global,13365,1.0,0.384596478124326,0.344090452166353,0.3734866828087167,0.3734866828087167,0.0120549296724847,0.0023618615243636,0.0022832478756986
all,5,non_overlapping,1,logistic_group,13365,1.0,0.3888296061450069,0.3587305983649427,0.3811929279191762,0.3958837772397094,0.0109185943679365,0.0016141376916874,0.004445092753648
all,5,non_overlapping,1,logistic_time,13365,1.0,0.3887390749333346,0.3559195966846888,0.3856858846918489,0.3914447134786117,0.0080547984924982,0.0021178872321537,0.0084212129791504
all,5,non_overlapping,1,logistic_time_group,13365,1.0,0.3868885872626659,0.3602298242963107,0.3852631578947368,0.4061743341404358,0.0084068432460711,0.0016977376485056,0.0077084904958674
all,5,non_overlapping,1,logistic_time_group_ticker,13365,1.0,0.4020952856440327,0.3709087447275299,0.4006661442006269,0.4126311541565778,0.0073343263585833,0.0014501647859136,0.0101301052578061
all,5,non_overlapping,1,majority_baseline,13365,1.0,0.3333333333333333,0.2035208095089579,0.0,0.0,,,0.0059378980664923
all,5,non_overlapping,1,ridge_current,13365,1.0,0.3516644388499605,0.3491337565421251,0.3709097138941237,0.4368442292171106,0.0033634226894718,0.0002571777416028,0.0099668006215486
all,5,non_overlapping,2,logistic_global,14889,1.0,0.4050695421652556,0.366712393977284,0.418850939899391,0.2763318777292576,0.0070492107370564,0.0028815619011179,0.0042729204168036
all,5,non_overlapping,2,logistic_group,14889,1.0,0.4009068640822688,0.370269027447918,0.421923474663909,0.2850655021834061,0.0075132246278848,0.002930193404078,0.0037236237482528
all,5,non_overlapping,2,logistic_time,14889,1.0,0.4013884042822853,0.3410115497841242,0.4119223040857334,0.2148471615720524,0.0087159444513447,0.0024552028880006,0.0047979216207194
all,5,non_overlapping,2,logistic_time_group,14889,1.0,0.401942987472828,0.3523708727613825,0.4184308841843088,0.2347598253275109,0.0080496586512514,0.0029206605635199,0.0040965667648359
all,5,non_overlapping,2,logistic_time_group_ticker,14889,1.0,0.4051899766814648,0.3545410561175512,0.4159215460051918,0.2518777292576419,0.0083207369928359,0.0026003481433257,0.0041578128711112
all,5,non_overlapping,2,majority_baseline,14889,1.0,0.3333333333333333,0.2005916326243132,0.0,0.0,,,0.0044149208433409
all,5,non_overlapping,2,ridge_current,14889,1.0,0.3454646921635506,0.3408652420912914,0.3643092105263157,0.3095196506550218,0.0051050625585231,0.002244244941506,0.0051252995146508
all,5,non_overlapping,3,logistic_global,15779,1.0,0.4192515400210917,0.3740658036572284,0.465394474508687,0.2592827673754364,-0.0010895018008008,0.0008923971219473,0.0096261676525978
