variant,horizon,fold,group,regime,sample_count,support_hold_rate,support_break_rate,first_bounce_delay,maximum_favorable_excursion,maximum_adverse_excursion,final_return,eligible_count,unavailable_count,max_adverse_excursion,sample_mode,regime_scope,comparison_scope
baseline,5,4,software,under_pressure,7668,0.5119979134063641,0.48800208659363586,1.5530694205393,0.041332222666574936,-0.041028315904265845,-0.0014114449556502635,131931,8995,-0.041028315904265845,overlapping,observed,all_eligible
baseline,5,4,software,uptrend,16146,0.570172178867831,0.42982782113216894,1.5933236190223872,0.042854434829916264,-0.03500475542704113,0.005759669986462665,131931,8995,-0.03500475542704113,overlapping,observed,all_eligible
baseline,5,5,other,acute_selloff,171,0.7076023391812866,0.29239766081871343,1.0232558139534884,0.07735625055630878,-0.03727323308126309,0.050983351342896444,151384,8303,-0.03727323308126309,overlapping,observed,all_eligible
baseline,5,5,other,correction,2254,0.5377107364685004,0.4622892635314996,1.5223628691983122,0.043644349017372165,-0.04965808007017697,-0.001987226157467925,151384,8303,-0.04965808007017697,overlapping,observed,all_eligible
baseline,5,5,other,range_bound,1127,0.6441881100266194,0.35581188997338065,1.5849673202614378,0.04869295535959951,-0.02922983313321314,0.017856931012445065,151384,8303,-0.02922983313321314,overlapping,observed,all_eligible
baseline,5,5,other,under_pressure,7766,0.5679886685552408,0.43201133144475923,1.4756221432199086,0.0448299437442852,-0.03638363885035302,0.007197739346128752,151384,8303,-0.03638363885035302,overlapping,observed,all_eligible
baseline,5,5,other,uptrend,15759,0.5430547623580176,0.45694523764198236,1.7128593040847202,0.036454926347643656,-0.035217187442065215,0.001455942777102667,151384,8303,-0.035217187442065215,overlapping,observed,all_eligible
baseline,5,5,semiconductor,acute_selloff,66,0.6212121212121212,0.3787878787878788,0.7962962962962963,0.10678641988786372,-0.05316343892443918,0.0385402812646713,73886,4936,-0.05316343892443918,overlapping,observed,all_eligible
baseline,5,5,semiconductor,correction,978,0.47955010224948874,0.5204498977505112,1.2620904836193447,0.06489062350758822,-0.07774791326828666,-0.007373269879137293,73886,4936,-0.07774791326828666,overlapping,observed,all_eligible
baseline,5,5,semiconductor,range_bound,560,0.7625,0.2375,1.3333333333333333,0.09739622526474453,-0.03721042423929637,0.0599103317441144,73886,4936,-0.03721042423929637,overlapping,observed,all_eligible
baseline,5,5,semiconductor,under_pressure,3633,0.5414258188824663,0.45857418111753373,1.1982683982683984,0.0777750260638544,-0.0570801450965409,0.01873108481345594,73886,4936,-0.0570801450965409,overlapping,observed,all_eligible
baseline,5,5,semiconductor,uptrend,7000,0.49942857142857144,0.5005714285714286,1.412827691524561,0.06696486951768324,-0.053098297336245326,0.010325834334328219,73886,4936,-0.053098297336245326,overlapping,observed,all_eligible
baseline,5,5,software,acute_selloff,155,0.7870967741935484,0.2129032258064516,0.7727272727272727,0.09697970215515646,-0.03861281243358527,0.05889263610768846,131931,8995,-0.03861281243358527,overlapping,observed,all_eligible
baseline,5,5,software,correction,2199,0.4793087767166894,0.5206912232833106,1.4456958970233307,0.05173847590858026,-0.05925347191762029,-0.0011253806889886604,131931,8995,-0.05925347191762029,overlapping,observed,all_eligible
baseline,5,5,software,range_bound,1104,0.7346014492753623,0.2653985507246377,1.3594594594594596,0.07271457002547192,-0.029619363054423718,0.03807760250660625,131931,8995,-0.029619363054423718,overlapping,observed,all_eligible
baseline,5,5,software,under_pressure,7131,0.5195624737063526,0.48043752629364744,1.3580080753701211,0.05466280276226246,-0.04787677032323794,0.004836876169249637,131931,8995,-0.04787677032323794,overlapping,observed,all_eligible
baseline,5,5,software,uptrend,15664,0.48716802860061287,0.5128319713993871,1.5267543859649122,0.046385765930271196,-0.04705842787292705,-0.0018783979742758691,131931,8995,-0.04705842787292705,overlapping,observed,all_eligible
baseline,10,1,other,acute_selloff,420,0.5166666666666667,0.48333333333333334,2.0309597523219813,0.08420516703373891,-0.04398876314309087,0.03442152827675724,151384,8303,-0.04398876314309087,overlapping,observed,all_eligible
baseline,10,1,other,correction,4330,0.46143187066974595,0.538568129330254,2.8429161969184515,0.05489529276829148,-0.051284470492667454,0.0037640444358514403,151384,8303,-0.051284470492667454,overlapping,observed,all_eligible
baseline,10,1,other,range_bound,2978,0.568502350570853,0.4314976494291471,3.1944298476090385,0.05277599759199146,-0.033193581684687015,0.017454672906749732,151384,8303,-0.033193581684687015,overlapping,observed,all_eligible
baseline,10,1,other,under_pressure,6211,0.4219932378038963,0.5780067621961037,3.160229330114665,0.043953647218060075,-0.046846705416286334,-0.0008432405741683985,151384,8303,-0.046846705416286334,overlapping,observed,all_eligible
baseline,10,1,other,uptrend,12048,0.4222277556440903,0.5777722443559097,3.407539811504712,0.03903317273167055,-0.045723260235857745,-0.004636645514227982,151384,8303,-0.045723260235857745,overlapping,observed,all_eligible
baseline,10,1,semiconductor,acute_selloff,207,0.42995169082125606,0.5700483091787439,1.6179775280898876,0.10079592863783657,-0.06049616791490297,0.02621181533037488,73886,4936,-0.06049616791490297,overlapping,observed,all_eligible
baseline,10,1,semiconductor,correction,2012,0.3782306163021869,0.6217693836978131,2.574048913043478,0.07493094113142401,-0.06519819122927338,0.009706561839268043,73886,4936,-0.06519819122927338,overlapping,observed,all_eligible
baseline,10,1,semiconductor,range_bound,1433,0.6113049546406141,0.3886950453593859,2.413469735720375,0.08608877298358647,-0.03725244500163744,0.04054176279159017,73886,4936,-0.03725244500163744,overlapping,observed,all_eligible
baseline,10,1,semiconductor,under_pressure,2812,0.3481507823613087,0.6518492176386913,2.70973348783314,0.06200119612030447,-0.0633450940180969,0.002091854287391204,73886,4936,-0.0633450940180969,overlapping,observed,all_eligible
baseline,10,1,semiconductor,uptrend,5822,0.3965991068361388,0.6034008931638613,2.865498812351544,0.05553788301648587,-0.06079570375862867,-0.005748323160795884,73886,4936,-0.06079570375862867,overlapping,observed,all_eligible
baseline,10,1,software,acute_selloff,280,0.575,0.425,1.3133047210300428,0.11135776510250198,-0.052273332995748545,0.06014265968840325,131931,8995,-0.052273332995748545,overlapping,observed,all_eligible
