ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
DCRNW,Decarbonization Plus Acquisition Corporation II,NASDAQ,success,clean,200,200,0,0,2021-04-01,2022-01-13,200,True,21560,False
DHHCU,DiamondHead Holdings Corp,NASDAQ,success,clean,549,549,0,0,2021-01-26,2023-03-30,549,True,58368,False
DISH,DISH Network Corporation,NASDAQ,success,clean,2015,2015,0,0,2016-01-04,2024-01-04,1512,True,230237,False
EF,Edelman Financial Group Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
EGLE1,Eagle Food Centers Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
EIMO,Eimo Plc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
ENCD,Encad Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
ENLU,EnerLume Energy Management Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
ESRX,Express Scripts Holding Co,NASDAQ,success,clean,748,748,0,0,2016-01-04,2018-12-20,245,True,84999,False
FASH,Fashionmall Com Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
FBCP,Founders Bancorp CA,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
FCWI,First Commonwealth Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
FFYF,Ffy Financial Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
FRES,Fresh2 Group Ltd,NASDAQ,success,clean,1238,1238,0,0,2020-01-30,2024-12-30,1238,True,130593,False
FSACU,Federal Street Acquisition Corp,NASDAQ,success,clean,366,366,0,0,2017-07-19,2018-12-31,251,True,40032,False
FUBC,1st United Bancorp Inc (Florida),NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
GBRGW,Goldenbridge Acquisition Limited,NASDAQ,success,clean,901,901,0,0,2021-04-16,2025-12-19,901,True,100381,False
GHVI,Gores Holdings VI Inc,NASDAQ,success,clean,169,169,0,0,2021-02-02,2022-02-18,169,True,18945,False
