scope,horizon,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current
other,20,logistic_decay_market,141361,1.0,0.35083407029358016,0.35183414411525815,0.33538540464281136,0.31500963700610346,0.03283892618532292,0.008927584246249062,0.016467288291567066,,,overlapping,0.3896972998210256,0.4615914002174721,0.5083291649614237,0.25
other,20,majority_baseline,141361,1.0,0.3333333333333333,0.21213115070369548,0.0,0.0,,,0.020715860479426824,,,overlapping,0.4666987358606688,0.4666987358606688,1.0,0.0
other,20,ridge_current,141361,1.0,0.3646074268488919,0.2529095703950162,0.2949233475747675,0.04712094442659814,0.03502131198115724,0.014397724285988463,0.033438038211042985,0.0946479855499654,-0.017921944253035595,overlapping,0.2853828142132554,0.4786356038445466,0.2777803040637837,
other,20,ridge_decay_market,141361,1.0,0.364868268266678,0.262135275643411,0.298904833836858,0.06356408609058786,0.036924377328359896,0.014066544385409784,0.03193203184949456,0.09498952427281654,-0.01848897975130744,overlapping,0.2897545999250147,0.4775095363661965,0.28272171949130703,0.5
other,20,ridge_decay_only,141361,1.0,0.3650060289342824,0.255792573359468,0.3012508686587908,0.052220526823000324,0.035719683351664956,0.014432592876829953,0.032710129265282765,0.09477388387588809,-0.01811280012844033,overlapping,0.28677640933496507,0.47732226258432797,0.278841344186258,0.75
other,20,ridge_decay_volume,141361,1.0,0.3649029402986757,0.2613360369199134,0.297210401891253,0.06310231288146483,0.037386074249663136,0.013926734360291454,0.032337122366629466,0.09497992478880718,-0.018165267168697725,overlapping,0.28896230219084473,0.4781652610337869,0.28016006548133326,0.5
other,20,logistic_decay_market,7233,1.0,0.3607452712367265,0.36230424263424404,0.34093686354378816,0.3274647887323944,0.03085203734682915,0.010071425774391787,0.01676383061624951,,,non_overlapping,0.39554818194386837,0.46536558548653106,0.5055240370259779,0.5
other,20,majority_baseline,7233,1.0,0.3333333333333333,0.210987210987211,0.0,0.0,,,0.020490805039566972,,,non_overlapping,0.4630167288815153,0.4630167288815153,1.0,0.0
other,20,ridge_current,7233,1.0,0.3702638049345763,0.25976756287276287,0.33496332518337407,0.05359937402190924,0.010576605388259039,0.01634237021623755,0.032981869903530574,0.09295432039226621,-0.0018484635522772169,non_overlapping,0.29130374671643855,0.48226221079691517,0.2800836070468797,
other,20,ridge_decay_market,7233,1.0,0.3712115081854128,0.27029688918750766,0.3442622950819672,0.07394366197183098,0.019738789810103668,0.015535618394303986,0.032260468218699566,0.09331983238431173,-0.0006921155377789765,non_overlapping,0.2962809346052814,0.47381546134663344,0.2836667661988653,0.5
other,20,ridge_decay_only,7233,1.0,0.3735015394133235,0.2644177466132209,0.34151785714285715,0.05985915492957746,0.01773022662267913,0.01607390348584278,0.03206028472190036,0.09313051331871777,-0.007152388860536255,non_overlapping,0.29448361675653256,0.48258196721311475,0.2812779934308749,0.75
other,20,ridge_decay_volume,7233,1.0,0.37046284317601724,0.26963106897794936,0.3430127041742287,0.07394366197183098,0.02054085046452527,0.015113986913697863,0.0331634206431626,0.09333855698757407,-0.0008357017088638316,non_overlapping,0.2954514032904742,0.4751131221719457,0.2821737832188713,0.5
