sample_count,coverage,event_rate,signal_rate,precision,recall,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,mean_mae_when_signaled,scope,horizon,regime_scope,sample_mode,specification,comparable_fold_count,fold_win_rate_vs_ridge_down
363,1.0,0.4765840220385675,0.03305785123966942,0.25,0.017341040462427744,0.9526315789473684,0.4849863097048981,0.48498630970489803,0.472654819344257,0.4931129476584022,-0.03785655231588512,semiconductor,5,acute_selloff,non_overlapping,general_logistic_down,2,0.5
363,1.0,0.4765840220385675,0.0,,0.0,1.0,0.5,0.5,0.4765840220385675,0.4765840220385675,,semiconductor,5,acute_selloff,non_overlapping,negative_baseline,2,0.5
363,1.0,0.4765840220385675,0.6528925619834711,0.5232067510548524,0.7167630057803468,0.4052631578947368,0.5610130818375418,0.5923942804989352,0.5780678843991921,0.2574432772543819,-0.0665814361299695,semiconductor,5,acute_selloff,non_overlapping,pressure_downside_logistic_v1,2,1.0
363,1.0,0.4765840220385675,0.14600550964187328,0.4528301886792453,0.13872832369942195,0.8473684210526315,0.4930483723760267,0.4930483723760267,0.47328869255519335,0.4903581267217631,-0.05244985216641023,semiconductor,5,acute_selloff,non_overlapping,ridge_down,0,
2623,1.0,0.41059855127716355,0.1380099123141441,0.4530386740331492,0.1522748375116063,0.871927554980595,0.5121011962461006,0.5121011962461006,0.4170611140738039,0.4235608082348456,-0.061029068661828445,semiconductor,5,correction,non_overlapping,general_logistic_down,4,0.0
2623,1.0,0.41059855127716355,0.0,,0.0,1.0,0.5,0.5,0.41059855127716355,0.41059855127716355,,semiconductor,5,correction,non_overlapping,negative_baseline,4,0.0
2623,1.0,0.41059855127716355,0.5985512771635532,0.4694267515923567,0.6843082636954503,0.4611901681759379,0.5727492159356941,0.6169478007161381,0.5203441303219316,0.2548712091613875,-0.06230535628321429,semiconductor,5,correction,non_overlapping,pressure_downside_logistic_v1,4,0.25
2623,1.0,0.41059855127716355,0.18604651162790697,0.5409836065573771,0.24512534818941503,0.8551099611901681,0.5501176546897916,0.5501176546897917,0.442559233351422,0.3953488372093023,-0.06620529993346323,semiconductor,5,correction,non_overlapping,ridge_down,0,
3642,1.0,0.4028006589785832,0.23146622734761121,0.5100830367734283,0.2931152010906612,0.8101149425287356,0.5516150718096984,0.5516150718096984,0.43424675471940344,0.39813289401427787,-0.07272543290598404,semiconductor,5,under_pressure,non_overlapping,general_logistic_down,4,0.75
3642,1.0,0.4028006589785832,0.0,,0.0,1.0,0.5,0.5,0.4028006589785832,0.4028006589785832,,semiconductor,5,under_pressure,non_overlapping,negative_baseline,4,1.0
3642,1.0,0.4028006589785832,0.514827018121911,0.536,0.6850715746421268,0.6,0.6425357873210633,0.6937576882996811,0.6047223225028421,0.23160541144767754,-0.07152594275269054,semiconductor,5,under_pressure,non_overlapping,pressure_downside_logistic_v1,4,1.0
3642,1.0,0.4028006589785832,0.21609006040637013,0.3252858958068615,0.17450579413769599,0.7558620689655172,0.4651839315516066,0.4651839315516066,0.3892738836739065,0.4783086216364635,-0.04493279443346285,semiconductor,5,under_pressure,non_overlapping,ridge_down,0,
12132,1.0,0.3880646224859875,0.142433234421365,0.4519675925925926,0.1658878504672897,0.8724407327586207,0.5191642916129552,0.5191642916129551,0.3986653488354477,0.40174744477415103,-0.06542459610866908,software,5,all_pressure,non_overlapping,general_logistic_down,4,1.0
12132,1.0,0.3880646224859875,0.0,,0.0,1.0,0.5,0.5,0.3880646224859875,0.3880646224859875,,software,5,all_pressure,non_overlapping,negative_baseline,4,1.0
